cdf,inter_batch_delay
0.0,0.0001514881079207077
0.01,0.00015989336819799633
0.02,0.00017286434782440795
0.03,0.0001749512168657957
0.04,0.00017884279533811394
0.05,0.00018392116063217906
0.06,0.00018876582008353835
0.07,0.00019529421394817397
0.08,0.00019804756232867006
0.09,0.00020245289110466005
0.1,0.00020571819119200572
0.11,0.0002111370052960992
0.12,0.00021454236877633173
0.13,0.00021583349291841948
0.14,0.00021931460459547776
0.15,0.00022019362016598515
0.16,0.00022196223474255357
0.17,0.00022329801192047115
0.18,0.00022509156124539526
0.19,0.0002255421950016423
0.2,0.00022644617082932843
0.21,0.00022689951651667448
0.22,0.00022780893250530247
0.23,0.00022826500644425177
0.24,0.00022872199344414016
0.25,0.00022963871394219237
0.26,0.00022963871394219237
0.27,0.00023009845110724184
0.28,0.0002305591086670161
0.29,0.0002310206884641473
0.3,0.00023194662215946088
0.31,0.00023241097976138173
0.32,0.00023241097976138173
0.33,0.0002328762670081513
0.34,0.00023334248576092038
0.35000000000000003,0.00023334248576092038
0.36,0.00023380963788456588
0.37,0.00023427772524769818
0.38,0.00023427772524769818
0.39,0.00023427772524769818
0.4,0.00023474674972266826
0.41000000000000003,0.00023521671318557652
0.42,0.00023521671318557652
0.43,0.0002356876175162784
0.44,0.0002356876175162784
0.45,0.0002356876175162784
0.46,0.0002361594645983931
0.47000000000000003,0.0002361594645983931
0.48,0.00023663225631931082
0.49,0.00023663225631931082
0.5,0.00023710599457020035
0.51,0.0002375806812460166
0.52,0.0002375806812460166
0.53,0.00023805631824550812
0.54,0.00023805631824550812
0.55,0.00023853290747122489
0.56,0.00023853290747122489
0.5700000000000001,0.00023901045082952568
0.58,0.0002399684075884048
0.59,0.0002399684075884048
0.6,0.0002399684075884048
0.61,0.00024093020384948434
0.62,0.0002414125465999335
0.63,0.00024189585500153499
0.64,0.00024238013098752407
0.65,0.00024286537649500663
0.66,0.00024286537649500663
0.67,0.00024335159346496662
0.68,0.00024335159346496662
0.6900000000000001,0.00024383878384227388
0.7000000000000001,0.00024383878384227388
0.71,0.00024432694957569185
0.72,0.0002448160926178855
0.73,0.00024579731845881305
0.74,0.0002462894051824544
0.75,0.0002467824770647015
0.76,0.0002472765360778441
0.77,0.0002472765360778441
0.78,0.00024876465568481423
0.79,0.0002492626830235226
0.8,0.0002502617308522263
0.81,0.000251264782876632
0.8200000000000001,0.00025328296377233155
0.8300000000000001,0.0002537900367728768
0.84,0.0002553173548749732
0.85,0.00025634066990121054
0.86,0.00025788333781056623
0.87,0.0002599546795232011
0.88,0.0002620426584351484
0.89,0.0002652061141638374
0.9,0.0002678714808158325
0.91,0.00026894511292969146
0.92,0.0002721918971108667
0.93,0.0002727368258338113
0.9400000000000001,0.00028330026293819525
0.9500000000000001,0.0003344566886425788
0.96,0.0003688932928539088
0.97,0.0003964331580691522
0.98,0.0004346353821422482
0.99,0.0004587509616604542
1.0,0.01279114744735968
